Coach ID,Name,Title,Email,University
C01,Andrew Checketts,Head Coach,—,UC Santa Barbara
C02,Matt Fonteno,Associate Head Coach,—,UC Santa Barbara
C03,Dylan Jones,Assistant Coach / Recruiting Coordinator,—,UC Santa Barbara
C04,Kyle Hunt,Assistant Coach,—,UC Santa Barbara
C05,Christian Kirtley,"Director of Player Development, Camps & Clinics",—,UC Santa Barbara
C06,Justin Han,"Assistant Director of Player Development, Camps & Clinics",—,UC Santa Barbara
C07,Jaren Jaffe,Undergraduate Assistant,—,UC Santa Barbara
