Coach ID,Name,Title,Email,University
1,Conor Kortmann,Head Coach,[Not Provided],Rutgers–Newark
2,Brandon Lopez,Assistant Coach / Recruiting Coordinator,[Not Provided],Rutgers–Newark
3,Josh Miller,Assistant Coach,[Not Provided],Rutgers–Newark
4,Justin Kessler,Assistant Coach,[Not Provided],Rutgers–Newark
5,Daniel Reardon,Graduate Assistant Coach / Pitching Coach,[Not Provided],Rutgers–Newark
