Coach ID,Name,Title,Email,University
C1,David Esquer,Clarke and Elizabeth Nelson Director of Baseball,—,Stanford
C2,Thomas Eager,Assistant Baseball Coach,—,Stanford
C3,Steve Rodriguez,Assistant Coach,—,Stanford
C4,Andre Mercurio,Assistant Coach,—,Stanford
