Coach ID,Name,Title,Email,University
1,Ryan Kulik,Head Coach,[Not Provided],Rutgers–Camden
2,Patrick Fisher,Assistant Coach,[Not Provided],Rutgers–Camden
3,Christian Scafidi,Pitching Coach,[Not Provided],Rutgers–Camden
4,Derek Smolinski,Volunteer Assistant Coach,[Not Provided],Rutgers–Camden
5,Andrew Young,Volunteer Assistant Coach,[Not Provided],Rutgers–Camden
6,R.J. McGettigan,Volunteer Assistant Coach,[Not Provided],Rutgers–Camden
7,Dustin Bellis,Volunteer Assistant Coach,[Not Provided],Rutgers–Camden
8,Jordan Fisher,Volunteer Assistant Coach,[Not Provided],Rutgers–Camden
